id,contract_line_number,gen_type,gen_type_capacity
1,380b1652-1a37-4a28-afc7-8349285a95d4,propane,medium
2,1c2b4aaa-5be4-4198-8d45-01e521490a12,diesel,large
3,123bcf31-3386-4f0e-b168-4b95158e5b94,diesel,low
4,0d26152e-be9d-49b8-ad9f-d2bab2b6bd37,gasoline,large
5,f51bb658-9f4f-45fa-8c46-6beae589303b,diesel,low
6,a84c1148-35d6-4398-b20b-6afc8ee32b53,diesel,medium
7,530c5eae-2b34-44d0-a177-12e2f0337175,gasoline,large
8,8ad0c3d2-66be-479c-985b-c06403c78527,diesel,medium
9,4bbe258c-13fa-4460-9c39-8fa39b1b26dd,gasoline,low
10,3d00bf9f-99f9-4898-bcde-322f83d7f2ca,gasoline,low
11,85aa339f-bb0e-4e18-b7a0-b82742ce7fa6,propane,medium
12,6707493d-af17-40ea-9a07-e150ef757d55,gasoline,large
13,fbfa2218-b7a2-4400-8b67-c2b569ba8956,diesel,low
14,245978ac-633c-45d9-9032-812af832260d,diesel,medium
15,3bb24e26-3d59-41d4-b0ce-29f99a2b4bd5,diesel,large
16,b0f87689-57f9-4cb5-a719-6c4865d8051c,propane,low
17,7a53ee43-ff71-44a5-a07f-3d6e4fe55ad8,diesel,medium
18,603481db-04f4-4515-96a5-40e655212e0a,diesel,low
19,56cf037a-734f-4c5f-a606-409a11de0c63,diesel,low
20,5bae2a09-4d95-4f99-a008-e9ad32e8356d,gasoline,low
21,807eff80-31e9-45b9-ada2-ae18d98e6423,gasoline,large
22,af995cb1-87e4-4929-9f1a-b7b83f398a6d,propane,medium
23,80f10c7a-4ddf-4eff-885d-7ef729434eb3,gasoline,large
24,7fa49ee3-30ae-4cc8-8679-69c2b4c961a2,gasoline,medium
25,edf5053e-0ee0-4cf8-aace-ed4977b188c4,diesel,large
26,1818d8b5-d2d6-4fa9-a2a5-986cb2af4542,diesel,low
27,a451c2d1-e4f3-4872-986e-9e6a9366d89c,diesel,medium
28,fc417a4c-9bce-4fd2-ba1f-3ad758bf158b,propane,large
29,d96cc5f3-cc53-453f-99f1-9a8c4d0d5dcd,diesel,medium
30,e8991e4e-1678-4ba2-bb65-7ef8f2747ae2,propane,large
31,f3989b4f-49c9-4cf6-b05e-88422d1b9c9a,diesel,low
32,5e86805f-123b-4746-8f96-0a31308226a0,diesel,large
33,d4360b84-e758-42d9-9956-da0eb5cf66bf,propane,low
34,d836180e-d750-4c48-8134-387118ca0337,propane,medium
35,22f40619-29f8-4acb-9c0e-d8a7be437d69,gasoline,low
36,bbe3b118-91cd-4bb2-acef-ece3b977fbd9,propane,low
37,c26abb2a-8851-422c-bb7a-318f8210b7a5,propane,large
38,46c4a4a8-9020-45b6-a45a-7803656f9043,gasoline,medium
39,d2e84ad3-a093-4432-ae4a-c4dc55590998,gasoline,large
40,b9289670-8b37-406e-995f-04dcec1854eb,propane,medium
41,6eebdc58-a800-4375-b838-0d4fb0cef463,propane,low
42,721944d4-e3ec-415e-8007-bcacda0d04f4,gasoline,low
43,cdd17332-9a44-42c7-bc42-623d27c05520,diesel,low
44,f79b5df8-3757-4e0e-8e8c-1982b10ced68,propane,large
45,61bd27a4-bb28-4ddd-958f-d3d56637fbe2,diesel,medium
46,e81b2787-3e6d-41c5-b50c-66fdd942e418,gasoline,medium
47,e4d369d8-785b-4403-8ad7-9aa8b53f5165,diesel,low
48,b3d3ae4a-5b1a-4717-bca5-375160e5283f,gasoline,low
49,ac7d449f-8f2a-4675-a458-46e41a7a3352,diesel,low
50,8df64a01-c78b-4c60-9cca-c924390d5576,propane,medium
51,d0cc10e2-5f8e-40ca-bd6b-73f8b3fba759,gasoline,large
52,0b1feb6f-a33e-4d48-b738-91d59e740bc2,propane,low
53,2ea1c9fd-1943-412c-a829-2ec468cb04c2,diesel,large
54,d61d6503-504e-43cf-ba18-31e946c96fe6,gasoline,large
55,d35507ae-38a9-4b1d-af2d-82315c42acfe,propane,large
