id,contract_line_number,installation
1,c06fc3d2-beb2-4dbd-8753-2ee51250bfa6,high
2,16157d22-8d43-46e8-b9af-cf77436e12ce,portable
3,b7c5c6aa-9ad4-4dd7-9587-38e5c1216da0,medium
4,2f9191c3-ec98-4597-9951-4ccef63f46f2,portable
5,5414fa91-997a-442e-bd1d-03aba2122e8a,high
6,41d3a947-f5d4-4dab-bc5b-d08fe5643b09,medium
7,e9cf0b27-dd13-4a05-84ad-018befc4a0ca,low
8,25b9f9ac-fd72-43aa-b921-06c5002d9adc,low
9,b2b2a950-a40d-4965-881d-6ea6def5abb9,low
10,049127ff-c05f-4230-a679-583b6c1b4d13,portable
11,09909cb5-1a94-4e6f-8a78-8b34e5b01bcb,high
12,af14da41-56c0-47b5-8057-7b2cb69c5d1a,medium
13,9180711b-1a4e-4bf7-bad0-ed1a6c2045b0,medium
14,4d892f49-304c-4123-a7a5-8a3e32502880,high
15,c5dfede8-865f-4ca8-a05d-2436d6ac0f7d,medium
16,b4278d93-eac2-4aca-b434-05b14eec6473,medium
17,539f793f-89af-4b7e-8e5c-323c3b48536e,high
18,bb9d5055-8d5e-437e-a2c4-c8afce50995d,low
19,1df0091a-08e7-4eb2-b8c3-9f4d5047dcfd,portable
20,f8a2ca57-3bb4-4071-ac7d-348165e550d4,high
21,036154e9-0c89-4e75-b7f4-0b36b9f514bf,high
22,8d001309-13d1-465e-b9b3-81f936ae08c2,medium
23,8fe0704d-9c48-497e-81a3-542f977e372d,medium
24,cb82289d-6190-4f6d-9816-396baaa5d12f,medium
25,ffef6a09-d5cf-4f40-82e7-de077e99e6cd,low
26,08205455-a3e1-4949-939d-18df76bb699f,high
27,c4e14b0e-bbf8-4cd3-bb83-b52df5ac3b62,high
28,530aea25-4242-493b-bfc1-76968dcb2143,low
29,4b0abbe6-9fa9-433c-8f48-3cc8a72e5ffe,high
30,a28213bd-3265-47be-88dd-ccef8ced84eb,low
31,2d4b2d10-b42d-4302-8b54-1a798b0037a1,medium
32,915b0b9a-8ad7-4c9c-81e7-0288a597ef59,portable
